"LOINC_NUM","LONG_COMMON_NAME","ORDER_OBS"
"41874-9","White Birch IgE Ab [Units/volume] in Serum","Both"
"6109-3","White Elm IgE Ab [Units/volume] in Serum","Both"
"13183-9","White Elm IgG Ab [Units/volume] in Serum","Both"
"7407-0","White Hickory IgE Ab [Units/volume] in Serum","Both"
"6281-0","White mulberry IgE Ab [Units/volume] in Serum","Both"
"6189-5","White Oak IgE Ab [Units/volume] in Serum","Both"
"7291-8","Whole Egg IgE Ab [Units/volume] in Serum","Both"
"6286-9","Wormwood IgE Ab [Units/volume] in Serum","Both"
"45042-9","XXX microorganism Ag [Identifier] in Unspecified specimen by Immunofluorescence","Both"
"35691-5","XXX microorganism DNA [Presence] in Unspecified specimen by NAA with probe detection","Both"
"18482-0","Yeast [Presence] in Unspecified specimen by Organism specific culture","Both"
"701-3","Yersinia sp identified in Unspecified specimen by Organism specific culture","Both"
"5763-8","Zinc [Mass/volume] in Serum or Plasma","Both"
"25557-0","Zinc [Moles/volume] in Red Blood Cells","Both"
"29620-2","Zonisamide [Mass/volume] in Serum or Plasma","Both"
